report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,25,3.400081,3.399971,3.400098,3.400112,3.400086,3.399988,3.398889,3.3915129999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.8,2.0,2.6,4.9,3.1,4.9,4.7
2,25,3.400086,3.4,3.400068,3.400095,3.4000100000000004,3.39996,3.400029,3.4000500000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,2.7,5.3,3.6,5.3,5.0
3,24,3.400089,3.3999989999999998,3.400095,3.400009,3.400066,3.4,3.400073,3.400036,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.25,2.0,2.7,5.6,3.6,5.6,5.3
4,25,3.4001219999999996,3.3999989999999998,3.400031,3.400099,3.400043,3.399955,3.4001,3.4000369999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.4,2.0,2.6,5.8,3.9,5.8,5.5
5,24,3.389568,3.399886,3.398311,3.384786,3.397973,3.400015,3.396047,3.400152,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.6,2.0,2.6,6.0,3.9,6.0,5.7
6,25,3.400078,3.4,3.4000369999999998,3.400136,3.400097,3.399984,3.400092,3.4000340000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.7,2.0,2.7,6.2,4.1,6.2,5.8
7,25,3.400112,3.4,3.400044,3.4000790000000003,3.400013,3.4000079999999997,3.400076,3.40002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.85,2.0,2.7,6.4,4.3,6.4,6.0
8,24,3.400065,3.4,3.400137,3.400097,3.400069,3.400021,3.40008,3.400018,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.9,2.0,2.7,6.5,4.3,6.5,6.1
9,25,3.4001170000000003,3.3999989999999998,3.400143,3.4000169999999996,3.400133,3.399983,3.400097,3.4000850000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.0,2.0,2.7,6.6,4.4,6.6,6.2
10,25,3.4000850000000002,3.4,3.400088,3.4000749999999997,3.400088,3.399947,3.400074,3.400021,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.901,5.1,2.0,2.7,6.7,4.5,6.7,6.2
11,24,3.400066,3.4,3.4000529999999998,3.400149,3.4000630000000003,3.4000100000000004,3.400094,3.40004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.0,2.0,2.7,6.6,4.5,6.6,6.0
12,25,3.400074,3.4,3.400094,3.400074,3.4000790000000003,3.400035,3.4000529999999998,3.400032,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,4.95,2.0,2.7,6.4,4.6,6.4,5.8
13,24,3.393146,3.399935,3.400095,3.400072,3.388574,3.4000079999999997,3.3881289999999997,3.3912310000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,4.85,2.0,2.7,6.3,4.6,6.3,5.7
14,25,3.400058,3.3999989999999998,3.400098,3.400109,3.400052,3.3999989999999998,3.400035,3.4000239999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.219,4.8,2.0,2.7,6.2,4.6,6.2,5.7
15,25,3.400096,3.4,3.400043,3.4000790000000003,3.400029,3.400011,3.400069,3.400033,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.8,2.0,2.7,6.2,4.7,6.2,5.7
16,24,3.40016,3.4,3.4000850000000002,3.4002179999999997,3.400022,3.400033,3.4001170000000003,3.4000250000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.9,2.0,2.7,6.2,4.7,6.2,5.9
17,25,3.400098,3.4,3.40004,3.400073,3.400092,3.399984,3.400055,3.400044,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.0,2.0,2.7,6.4,4.7,6.4,6.1
18,24,3.4000839999999997,3.4,3.400082,3.400291,3.400049,3.399935,3.4001069999999998,3.400023,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.1,2.0,2.7,6.6,4.7,6.6,6.3
19,25,3.400081,3.4,3.400057,3.400095,3.400021,3.400033,3.400072,3.400019,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.87,5.15,2.0,2.7,6.8,4.7,6.8,6.2
20,25,3.400048,3.3999989999999998,3.400112,3.400106,3.400019,3.400006,3.400028,3.4000749999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,2.7,6.5,4.8,6.5,6.0
21,24,3.4001819999999996,3.3999569999999997,3.399347,3.390767,3.399235,3.399978,3.39337,3.400099,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.123,5.0,2.0,2.7,6.4,4.8,6.4,5.8
22,25,3.400077,3.3999989999999998,3.400121,3.4000839999999997,3.400033,3.3999859999999997,3.400071,3.400051,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.129,4.95,2.0,2.7,6.3,4.8,6.3,5.7
23,24,3.400092,3.399954,3.394199,3.392556,3.3970320000000003,3.399998,3.3901640000000004,3.4000839999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,4.9,2.0,2.8,6.3,4.8,6.3,5.7
24,25,3.4001680000000003,3.3999140000000003,3.3996109999999997,3.3972930000000003,3.397189,3.3999989999999998,3.3920250000000003,3.400076,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.172,4.9,2.0,2.7,6.2,4.8,6.2,5.7
