report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
63,19,2.699955,2.7,2.7,2.7,2.6999989999999996,2.699957,2.7000070000000003,2.699979,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.116,6.05,2.0,2.9,7.2,6.6,7.2,7.4
64,19,2.772482,2.723125,2.7257919999999998,2.7257919999999998,2.7257890000000002,2.721039,2.723078,2.767936,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.123,6.1,2.0,2.9,7.4,6.6,7.4,7.6
65,20,2.800038,2.7999989999999997,2.7999989999999997,2.800013,2.7999989999999997,2.799964,2.799969,2.8,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.119,6.15,2.0,2.9,7.6,6.6,7.6,7.8
66,21,2.90002,2.8999989999999998,2.8999989999999998,2.8999989999999998,2.9,2.900016,2.900004,2.9,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.3,6.25,2.0,2.9,7.8,6.7,7.8,8.0
67,21,2.869274,2.9032289999999996,2.899863,2.931424,2.903227,2.9482310000000003,2.85152,2.903223,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.289,6.3,2.0,2.9,8.0,6.8,8.0,8.0
68,21,2.89666,2.8912809999999998,2.891041,2.891279,2.891279,2.8996779999999998,2.899549,2.899502,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.35,2.0,2.9,7.9,6.8,7.9,7.9
69,20,2.884049,2.871553,2.869602,2.8715520000000003,2.871549,2.832544,2.819506,2.892988,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.496,6.25,2.0,2.9,7.8,6.9,7.8,7.9
70,21,3.0000329999999997,2.999999,3.000001,3.0,2.999999,2.999985,3.000004,3.0000050000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.9,7.9,7.0,7.9,8.0
71,22,2.8695180000000002,2.9549819999999998,2.9549830000000004,2.9562489999999997,2.954984,2.875344,2.835053,2.876161,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.35,2.0,2.9,8.0,7.0,8.0,8.0
72,21,2.716962,2.7320770000000003,2.7320770000000003,2.7320770000000003,2.7323380000000004,2.7000830000000002,2.700058,2.7000509999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.3,2.0,2.9,8.0,7.0,8.0,7.8
