report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,21,2.89994,2.9,2.9,2.8999989999999998,2.8999989999999998,2.900044,2.8999699999999997,2.90002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.0,2.0,2.8,7.6,6.5,7.6,7.7
2,22,2.999985,2.9977,2.997668,2.9977,2.9976979999999998,2.999986,2.9785459999999997,3.000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,6.15,2.0,2.8,7.8,6.7,7.8,8.0
3,21,2.996,2.9886790000000003,2.988486,2.9886790000000003,2.9886790000000003,2.997018,2.995938,2.997513,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.237,6.15,2.0,2.8,8.0,6.8,8.0,8.1
4,21,2.700118,2.7,2.7,2.6999989999999996,2.6999989999999996,2.700056,2.699868,2.699983,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.2,2.0,2.8,8.0,6.8,8.0,7.8
5,20,2.800023,2.8000010000000004,2.800002,2.7999989999999997,2.8000010000000004,2.800002,2.800025,2.800011,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.16,6.15,2.0,2.8,7.6,6.8,7.6,7.6
6,21,2.8999960000000002,2.9000030000000003,2.8999960000000002,2.900001,2.8999960000000002,2.899982,2.90002,2.900048,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.873,6.15,2.0,2.8,7.7,6.8,7.7,7.8
7,21,3.000066,3.000002,3.0,3.0,2.999999,2.999997,2.999947,3.000057,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.2,2.0,2.9,7.8,6.8,7.8,8.1
8,21,2.9589450000000004,2.9470929999999997,2.947409,2.94624,2.947094,2.969261,2.9699560000000003,2.955815,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.465,6.25,2.0,2.8,8.1,6.9,8.1,8.1
9,21,2.7185729999999997,2.727789,2.727948,2.7234879999999997,2.727789,2.703094,2.714226,2.727789,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.25,2.0,2.8,7.9,6.9,7.9,7.7
10,20,2.800002,2.8,2.7999989999999997,2.8000160000000003,2.7999989999999997,2.799991,2.800005,2.8,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.94,6.15,2.0,2.8,7.6,6.8,7.6,7.8
11,20,2.8999989999999998,2.9,2.9,2.9,2.900054,2.9000019999999997,2.900047,2.899955,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.15,2.0,2.8,7.7,6.9,7.7,7.9
12,21,2.998823,2.998822,2.998806,2.998821,2.999804,2.999783,2.9997350000000003,2.999703,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.867,6.2,2.0,2.8,7.8,6.9,7.8,8.0
13,22,2.944567,2.935149,2.9336480000000003,2.833914,2.9351469999999997,2.930748,2.843308,2.9351469999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.302,6.3,2.0,2.8,8.0,7.0,8.0,8.0
14,21,2.7001399999999998,2.6999989999999996,2.7,2.6999989999999996,2.7,2.7000100000000002,2.69995,2.700003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.468,6.3,2.0,2.9,8.0,7.0,8.0,7.8
15,19,2.799986,2.8,2.8,2.8,2.8,2.799968,2.800033,2.799989,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.2,2.0,2.9,7.7,7.0,7.7,7.7
16,21,2.899972,2.900004,2.900001,2.9,2.8999989999999998,2.899973,2.900045,2.9000369999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.15,2.0,2.9,7.7,6.9,7.7,7.9
17,21,2.918123,2.953189,2.954329,2.953189,2.953189,2.910182,2.902838,2.9027220000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.468,6.15,2.0,2.8,7.8,6.9,7.8,7.9
18,21,2.998463,2.991734,2.991431,2.991733,2.991731,2.998839,2.998764,2.9987440000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.25,2.0,2.9,7.9,6.9,7.9,8.1
19,22,2.9409940000000003,2.934489,2.933212,2.934489,2.934489,2.8489389999999997,2.85464,2.94782,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.9,8.1,6.9,8.1,8.1
20,20,2.799933,2.7999989999999997,2.8,2.8,2.7999989999999997,2.799984,2.8001129999999996,2.800035,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.9,7.9,7.0,7.9,7.8
21,20,2.800102,2.800379,2.800236,2.800515,2.800532,2.800194,2.800446,2.800183,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.2,2.0,2.9,7.7,6.9,7.7,7.7
22,21,2.9000120000000003,2.8999989999999998,2.8999740000000003,2.8999989999999998,2.8999989999999998,2.899959,2.9,2.89994,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.472,6.2,2.0,2.9,7.7,6.9,7.7,7.9
23,21,2.999999,2.999999,3.000001,2.999999,2.999963,2.999992,2.999999,3.00002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.2,2.0,2.9,7.9,6.9,7.9,8.1
24,21,2.9455790000000004,2.94329,2.9446,2.9649430000000003,2.949832,2.949695,2.945577,2.949557,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.25,2.0,2.9,8.0,7.0,8.0,8.1
25,21,2.7000059999999997,2.6999989999999996,2.700048,2.7,2.7,2.699942,2.6999989999999996,2.700021,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.25,2.0,2.9,7.9,7.0,7.9,7.7
26,20,2.799971,2.7999989999999997,2.8000010000000004,2.7999989999999997,2.799995,2.799996,2.800007,2.7999940000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.905,6.15,2.0,2.9,7.6,6.9,7.6,7.7
27,20,2.899966,2.900001,2.900001,2.900007,2.9,2.8999859999999997,2.900052,2.9000019999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.2,2.0,2.9,7.7,6.9,7.7,7.9
28,21,2.9823600000000003,2.968382,2.968862,2.988842,2.968862,2.9923580000000003,2.989854,2.968862,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.873,6.25,2.0,2.9,7.9,6.9,7.9,8.1
29,21,2.9089609999999997,2.901893,2.9089650000000002,2.9111770000000003,2.8806260000000004,2.896544,2.896636,2.8966469999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.507,6.3,2.0,2.9,8.0,7.0,8.0,8.1
30,21,2.945165,2.925089,2.925086,2.921139,2.9250819999999997,2.94578,2.946994,2.9470549999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.35,2.0,2.9,8.1,7.0,8.1,8.0
31,19,2.50006,2.5,2.5,2.5,2.499998,2.500014,2.499994,2.5000859999999996,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.109,6.15,2.0,2.9,7.4,7.1,7.4,7.2
32,18,2.599989,2.599999,2.599999,2.599999,2.6,2.6,2.600005,2.5999749999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.119,6.1,2.0,2.9,7.1,6.6,7.1,7.2
33,19,2.61697,2.6393449999999996,2.639346,2.639346,2.639979,2.600398,2.600377,2.605256,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.114,6.1,2.0,2.9,7.2,6.6,7.2,7.4
34,19,2.799713,2.7989569999999997,2.7989569999999997,2.798956,2.7989430000000004,2.7996619999999997,2.799709,2.799605,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.123,6.1,2.0,2.9,7.4,6.6,7.4,7.5
35,20,2.829853,2.834444,2.8344430000000003,2.87172,2.8338270000000003,2.8528510000000002,2.821478,2.83444,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.119,6.15,2.0,2.9,7.6,6.6,7.6,7.7
36,21,2.899983,2.8999989999999998,2.9,2.899993,2.9,2.900006,2.90003,2.8999989999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.263,6.25,2.0,2.9,7.8,6.7,7.8,7.9
37,21,2.9110479999999996,2.934316,2.934316,2.904494,2.9343209999999997,2.904347,2.904391,2.935559,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.302,6.3,2.0,2.9,8.0,6.8,8.0,8.1
38,20,2.829582,2.874241,2.874241,2.875347,2.874244,2.802219,2.809712,2.800393,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.3,2.0,2.9,7.9,6.8,7.9,7.9
39,21,2.900163,2.9,2.8999989999999998,2.9,2.9,2.9000079999999997,2.900021,2.899962,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.496,6.25,2.0,2.9,7.8,6.9,7.8,7.9
40,21,2.974285,2.9602049999999998,2.9602049999999998,2.959811,2.9602049999999998,2.9866289999999998,2.986173,2.986342,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.9,7.9,7.0,7.9,8.1
41,21,3.075999,2.982806,2.9828040000000002,2.9828069999999998,2.982484,3.070468,3.088669,3.0895659999999996,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.3,2.0,2.9,8.0,7.0,8.0,8.1
42,21,2.6999920000000004,2.7,2.7,2.7,2.6999989999999996,2.700038,2.7000970000000004,2.7,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.472,6.3,2.0,2.9,8.0,7.0,8.0,7.7
