report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,25,3.4003229999999998,3.3999989999999998,3.4,3.4001550000000003,3.400054,3.3999810000000004,3.40004,3.400057,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.119,5.2,2.0,2.8,7.1,5.1,7.1,6.7
2,24,3.400286,3.3999989999999998,3.4,3.400197,3.400031,3.399983,3.400059,3.400036,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.123,5.3,2.0,2.8,7.3,5.1,7.3,6.9
3,25,3.400381,3.4,3.4,3.400059,3.400048,3.39999,3.400066,3.400027,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.4,2.0,2.8,7.4,5.4,7.4,7.0
4,24,3.40041,3.4,3.400029,3.4001729999999997,3.400043,3.3999699999999997,3.4,3.4000239999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.45,2.0,2.8,7.5,5.6,7.5,7.1
5,25,3.400414,3.4,3.4000529999999998,3.400061,3.4000619999999997,3.3999650000000003,3.4,3.400094,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.5,2.0,2.8,7.6,5.6,7.6,7.2
6,24,3.399951,3.4,3.4000459999999997,3.400067,3.4,3.400035,3.400081,3.400013,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.55,2.0,2.8,7.6,5.7,7.6,7.7
7,25,3.3999699999999997,3.4,3.400043,3.400089,3.3999989999999998,3.400026,3.400086,3.4000410000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.65,2.0,2.8,7.6,5.7,7.6,7.7
8,24,3.399995,3.4,3.4000340000000002,3.400089,3.4,3.400055,3.400104,3.4000369999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.65,2.0,2.8,7.6,5.8,7.6,7.7
9,25,3.400059,3.399997,3.3999989999999998,3.400057,3.400028,3.399987,3.4,3.400026,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.134,5.65,2.0,2.8,7.7,5.9,7.7,7.2
10,25,3.400028,3.39985,3.40008,3.398174,3.399895,3.398759,3.4000529999999998,3.398063,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.7,2.0,2.8,7.7,5.9,7.7,7.3
11,24,3.400051,3.3999989999999998,3.400082,3.400074,3.4,3.400019,3.400019,3.400043,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.7,2.0,2.8,7.7,5.9,7.7,7.3
12,25,3.4000340000000002,3.399956,3.400048,3.399217,3.399967,3.3992139999999997,3.400082,3.3988389999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.142,5.7,2.0,2.8,7.7,6.0,7.7,7.4
13,24,3.399988,3.4,3.400032,3.400066,3.4,3.400023,3.4000410000000003,3.40002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.75,2.0,2.8,7.7,6.0,7.7,7.4
14,25,3.40003,3.4,3.400137,3.400068,3.4,3.399973,3.400051,3.400077,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.75,2.0,2.8,7.7,6.0,7.7,7.4
15,24,3.395774,3.39839,3.313593,3.3947800000000004,3.396264,3.340755,3.3035129999999997,3.359216,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.444,5.75,2.0,2.8,7.8,6.0,7.8,7.5
16,25,3.400006,3.4,3.400052,3.4000839999999997,3.3999989999999998,3.4000120000000003,3.400007,3.4000340000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.8,2.0,2.8,7.8,6.0,7.8,7.4
17,24,3.40002,3.4,3.400086,3.400081,3.4,3.4000169999999996,3.400077,3.4000500000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.75,2.0,2.8,7.7,6.1,7.7,7.4
18,25,3.400023,3.3999989999999998,3.40015,3.400048,3.4,3.3999580000000003,3.4000079999999997,3.400045,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.89,5.75,2.0,2.8,7.7,6.1,7.7,7.3
19,24,3.400056,3.4,3.400049,3.400086,3.4,3.399975,3.400077,3.4000250000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.75,2.0,2.8,7.7,6.1,7.7,7.3
20,25,3.400066,3.4,3.4000340000000002,3.4001,3.4,3.3999639999999998,3.4000369999999998,3.400087,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.75,2.0,2.8,7.6,6.0,7.6,7.4
21,24,3.399984,3.3999989999999998,3.400124,3.400096,3.4,3.399987,3.400045,3.400007,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.75,2.0,2.8,7.6,6.0,7.6,7.3
22,25,3.400066,3.4,3.400095,3.400088,3.4,3.3999520000000003,3.4000410000000003,3.400018,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.75,2.0,2.8,7.6,6.1,7.6,7.3
23,25,3.4000169999999996,3.3999989999999998,3.400039,3.400103,3.3999989999999998,3.3999479999999997,3.40004,3.40006,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.75,2.0,3.0,7.6,6.1,7.6,7.4
24,24,3.4000459999999997,3.3999989999999998,3.400056,3.400114,3.4,3.39996,3.4000909999999998,3.4000749999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.7,2.0,2.8,7.6,6.1,7.6,7.3
25,25,3.400051,3.4,3.4000500000000002,3.400078,3.4,3.399983,3.400097,3.4000459999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.887,5.75,2.0,2.8,7.6,6.1,7.6,7.3
26,24,3.400547,3.3999989999999998,3.4000410000000003,3.400116,3.400049,3.3999430000000004,3.4,3.4000369999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,5.7,2.0,2.8,7.7,6.1,7.7,7.3
27,25,3.400576,3.3999989999999998,3.400043,3.400131,3.4000500000000002,3.3999430000000004,3.4,3.400068,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.89,5.7,2.0,2.8,7.7,6.1,7.7,7.3
28,24,3.398618,3.3992150000000003,3.397733,3.373421,3.3722,3.395511,3.3992199999999997,3.4000839999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.89,5.75,2.0,2.8,7.7,6.1,7.7,7.3
29,25,3.400191,3.3999960000000002,3.399744,3.399298,3.3994299999999997,3.399306,3.399987,3.3947,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.89,5.7,2.0,2.8,7.7,6.1,7.7,7.3
30,25,3.396031,3.3976100000000002,3.399989,3.395924,3.395553,3.395438,3.3976260000000003,3.393263,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.75,2.0,2.8,7.7,6.1,7.7,7.4
31,23,3.194995,3.2267379999999997,3.146121,3.180962,3.227194,3.184879,3.227192,3.177512,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.928,5.85,2.0,2.8,8.1,6.4,8.1,8.1
32,24,3.19998,3.1999989999999996,3.1999560000000002,3.2003690000000002,3.2,3.199991,3.2,3.2004639999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,5.95,2.0,2.8,8.1,6.4,8.1,8.1
33,23,3.1940749999999998,3.200364,3.198406,3.199878,3.200361,3.1985569999999997,3.200362,3.19929,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.0,2.0,2.8,8.1,6.4,8.1,8.1
34,23,3.100041,3.099999,3.100034,3.1001190000000003,3.099999,3.099957,3.099999,3.1000430000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.0,2.0,2.8,8.1,6.4,8.1,7.9
35,3,0.227796,0.191522,0.155125,0.400026,0.18590500000000001,0.400019,0.181271,0.400038,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.2,2.0,2.8,5.4,5.3,5.4,4.7
36,1,0.400065,0.171814,0.40001,0.400034,0.166923,0.40002,0.175322,0.40002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.059,4.9,2.0,2.8,5.0,5.3,5.0,4.5
38,1,0.800091,0.800001,0.802558,0.800284,0.8,0.800884,0.800025,0.800357,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.476,4.7,2.0,2.8,4.7,4.8,4.7,4.5
39,9,1.500037,1.5,1.499974,1.500039,1.5,1.499982,1.5,1.5000609999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.7,2.0,2.8,4.6,4.7,4.6,4.8
40,11,1.7000039999999998,1.699999,1.7000350000000002,1.7001890000000002,1.699999,1.699991,1.7,1.700027,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.75,2.0,2.8,4.8,4.7,4.8,5.1
41,13,1.899988,1.899999,1.899994,1.900229,1.899999,1.900002,1.899999,1.9000489999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.9,2.0,2.8,5.1,4.7,5.1,5.4
42,15,2.1146529999999997,2.129576,2.100295,2.1006810000000002,2.1293960000000003,2.100485,2.129398,2.100407,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.0,2.0,2.8,5.4,4.7,5.4,5.7
43,16,2.2999870000000002,2.2999989999999997,2.3000529999999997,2.3000760000000002,2.3,2.299971,2.3,2.3000410000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.1,2.0,2.8,5.8,4.8,5.8,6.0
44,17,2.425072,2.425433,2.409877,2.4005199999999998,2.400435,2.4251060000000004,2.400623,2.425111,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.3,2.0,2.8,5.9,5.0,5.9,6.2
45,18,2.599999,2.599999,2.600203,2.600005,2.600056,2.599985,2.600067,2.6,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.45,2.0,2.8,6.3,5.0,6.3,6.6
46,19,2.7008829999999997,2.7,2.7,2.7,2.699952,2.700079,2.699988,2.700041,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.676,5.6,2.0,2.8,6.8,5.2,6.8,7.1
47,20,2.799983,2.8,2.7999989999999997,2.800084,2.8,2.800009,2.799996,2.800029,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.125,5.7,2.0,2.8,7.1,5.4,7.1,7.2
48,21,2.900023,2.8999989999999998,2.899937,2.9000169999999996,2.9,2.900039,2.900001,2.9001959999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.147,5.7,2.0,2.8,7.2,5.4,7.2,7.2
49,21,2.9136990000000003,2.9416550000000004,2.900433,2.9004749999999997,2.941685,2.900395,2.942548,2.9005140000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.142,5.7,2.0,2.8,7.2,5.7,7.2,7.4
50,22,3.100753,3.1,3.100024,3.1,3.100129,3.100096,3.1,3.1,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.145,5.8,2.0,2.8,7.4,5.7,7.4,7.5
51,22,3.145104,3.1444360000000002,3.119964,3.144458,3.199249,3.101337,3.100584,3.108409,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.138,5.85,2.0,2.8,7.5,5.9,7.5,7.8
52,23,3.179919,3.178759,3.178759,3.166187,3.148627,3.118563,3.1658310000000003,3.136922,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.208,5.95,2.0,2.8,7.8,6.2,7.8,8.1
53,23,3.190721,3.191141,3.19114,3.190036,3.197639,3.203513,3.193171,3.193546,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.0,2.0,2.8,8.1,6.2,8.1,8.1
54,21,2.938767,2.9563800000000002,2.9563800000000002,2.955871,2.992792,2.9503139999999997,2.921724,2.9816570000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.465,5.95,2.0,2.9,7.7,6.4,7.7,7.4
55,22,3.03583,3.061998,3.061998,3.062596,3.0105880000000003,3.0008000000000004,3.000028,2.999991,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.856,5.85,2.0,2.8,7.4,6.3,7.4,7.5
56,22,3.16073,3.132976,3.132976,3.13246,3.168201,3.1996260000000003,3.198962,3.184496,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,5.85,2.0,2.8,7.5,6.3,7.5,7.8
57,23,3.2,3.2,3.1999989999999996,3.2003670000000004,3.1999989999999996,3.200014,3.200003,3.200691,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,5.95,2.0,2.8,7.7,6.4,7.7,8.1
58,23,3.220837,3.183774,3.183238,3.233022,3.183774,3.175657,3.217689,3.242318,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.423,6.0,2.0,2.8,8.1,6.4,8.1,8.1
59,22,3.10001,3.099996,3.1000010000000002,3.100051,3.1000010000000002,3.0999899999999996,3.1000300000000003,3.100037,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.05,2.0,2.8,7.8,6.5,7.8,7.8
60,23,2.8999989999999998,2.900001,2.9,2.8999989999999998,2.900097,2.9000120000000003,2.900057,2.899909,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.0,2.0,2.8,7.7,6.5,7.7,7.7
61,20,2.907947,2.9337489999999997,2.933751,2.9347220000000003,2.9337530000000003,2.900453,2.900407,2.900194,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.873,6.0,2.0,2.8,7.5,6.5,7.5,7.8
62,22,2.992908,2.9961729999999998,2.9961729999999998,2.996111,2.9961729999999998,3.000001,2.9890149999999998,3.0000340000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.882,6.1,2.0,2.8,7.8,6.7,7.8,8.0
63,21,2.9955749999999997,2.99392,2.993922,2.993989,2.9939229999999997,2.9967020000000004,2.997209,2.996743,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.211,6.15,2.0,2.8,8.0,6.8,8.0,8.1
64,21,2.7927150000000003,2.766863,2.766863,2.766534,2.766533,2.799837,2.7999479999999997,2.799837,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.2,2.0,2.8,8.0,6.8,8.0,7.7
65,20,2.802676,2.8090889999999997,2.809174,2.809175,2.809174,2.800164,2.800145,2.800153,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.185,6.15,2.0,2.8,7.6,6.8,7.6,7.8
66,21,2.9000790000000003,2.9,2.8999989999999998,2.9,2.8999989999999998,2.8999650000000003,2.899963,2.9000100000000004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.15,2.0,2.8,7.7,6.8,7.7,7.9
67,21,3.000009,3.0,2.999999,2.999999,3.0,3.000006,3.000013,2.999948,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.873,6.15,2.0,2.8,7.8,6.8,7.8,8.1
68,21,2.9778629999999997,2.952181,2.953475,2.9534740000000004,2.953473,2.989165,2.990863,2.986672,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.423,6.25,2.0,2.8,8.1,6.9,8.1,8.1
69,21,2.770503,2.718322,2.720043,2.794261,2.72004,2.784041,2.796649,2.720033,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.8,7.9,6.9,7.9,7.7
70,20,2.800017,2.8,2.7999989999999997,2.800025,2.8,2.7999940000000003,2.799964,2.7999989999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.988,6.15,2.0,2.8,7.6,6.8,7.6,7.7
71,21,2.9,2.8999989999999998,2.8999989999999998,2.899998,2.900077,2.900048,2.900038,2.899967,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.15,2.0,2.8,7.7,6.9,7.7,7.8
72,21,2.901152,2.901035,2.9010369999999996,2.9011,2.900166,2.900132,2.900156,2.900147,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.867,6.2,2.0,2.8,7.9,6.9,7.9,8.0
73,21,2.920915,2.932786,2.932787,2.903286,2.933598,2.909627,2.879119,2.933614,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.263,6.25,2.0,2.8,8.0,7.0,8.0,8.1
74,21,2.7000439999999997,2.6999989999999996,2.6999989999999996,2.7,2.7,2.6999839999999997,2.699977,2.7000830000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.472,6.3,2.0,2.9,8.0,7.0,8.0,7.7
75,20,2.8,2.7999989999999997,2.8,2.8,2.7999989999999997,2.80002,2.7999810000000003,2.800035,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.2,2.0,2.9,7.7,7.0,7.7,7.7
76,20,2.899972,2.8999989999999998,2.8999989999999998,2.9,2.9,2.899951,2.900029,2.900059,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.15,2.0,2.9,7.7,6.9,7.7,7.8
77,21,2.974231,2.9369009999999998,2.9369009999999998,2.9369009999999998,2.936089,2.9997469999999997,2.999693,2.999678,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.468,6.2,2.0,2.9,7.8,6.9,7.8,7.9
78,21,2.983189,2.9829920000000003,2.982994,2.982809,2.9829920000000003,2.980143,2.9825019999999998,2.983819,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.25,2.0,2.9,7.9,6.9,7.9,8.1
79,21,2.976402,2.966368,2.966367,2.965949,2.966368,2.9830799999999997,2.985929,2.983046,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.9,8.1,6.9,8.1,8.1
80,21,2.714364,2.747621,2.747359,2.747359,2.747359,2.7000010000000003,2.699998,2.699975,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,2.9,7.9,7.0,7.9,7.7
81,20,2.808331,2.8262600000000004,2.803881,2.826118,2.826118,2.799947,2.826118,2.802475,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.2,2.0,2.9,7.7,6.9,7.7,7.7
82,21,2.899944,2.8999989999999998,2.90002,2.8999989999999998,2.8999989999999998,2.9,2.8999989999999998,2.900005,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.468,6.15,2.0,2.9,7.7,6.9,7.7,7.8
83,21,2.97517,2.974984,2.990355,2.975168,2.9989749999999997,2.999043,2.975166,2.999032,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.2,2.0,2.9,7.8,6.9,7.8,7.9
84,21,2.958453,2.958453,2.981558,2.957977,2.9901370000000003,2.9901329999999997,2.958453,2.9844250000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.25,2.0,2.9,8.0,7.0,8.0,8.1
85,21,2.6998939999999996,2.7,2.70007,2.7,2.7,2.699954,2.7,2.700005,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.25,2.0,2.9,7.9,7.0,7.9,7.6
86,20,2.799998,2.8,2.7999989999999997,2.8,2.8,2.7999899999999998,2.800058,2.799991,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.928,6.2,2.0,2.9,7.6,6.9,7.6,7.7
