report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
54,21,2.8876999999999997,2.8877020000000004,2.8850680000000004,2.8877089999999996,2.88627,2.8970990000000003,2.8982229999999998,2.896271,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.45,2.0,3.6,7.9,7.2,7.9,8.0
55,21,2.976587,2.976587,2.981105,2.9765859999999997,2.959648,2.977524,2.9654540000000003,2.9868989999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.45,2.0,3.6,8.1,7.2,8.1,8.1
56,20,2.6999989999999996,2.6999989999999996,2.7,2.7,2.700002,2.6999299999999997,2.700016,2.7000059999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.45,2.0,3.6,7.8,7.2,7.8,7.7
57,20,2.799986,2.7999989999999997,2.8,2.7999899999999998,2.7999989999999997,2.800018,2.800021,2.7999989999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.4,2.0,3.6,7.7,7.2,7.7,7.8
58,20,2.8744389999999997,2.869539,2.869536,2.836255,2.869532,2.8249,2.820646,2.8682220000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.4,2.0,3.6,7.7,7.1,7.7,7.9
59,21,2.900054,2.9,2.8999989999999998,2.9000619999999997,2.9,2.899977,2.899973,2.9,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.4,2.0,3.6,7.8,7.1,7.8,8.0
60,21,2.9714319999999996,2.932275,2.932274,2.98809,2.9322719999999998,2.98342,2.988721,2.931152,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.45,2.0,3.6,8.0,7.2,8.0,8.1
61,21,2.866854,2.925726,2.923712,2.925724,2.925723,2.92398,2.9403040000000003,2.8902840000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.496,6.45,2.0,3.6,8.1,7.3,8.1,8.1
62,19,2.443827,2.424461,2.423332,2.42446,2.42446,2.425248,2.418865,2.4279960000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.4,2.0,3.6,7.7,7.3,7.7,7.2
63,18,2.526071,2.568619,2.569516,2.568618,2.568619,2.505608,2.539221,2.53289,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.444,6.25,2.0,3.6,7.2,7.0,7.2,7.2
64,19,2.600007,2.599999,2.600002,2.599953,2.599999,2.599996,2.6,2.6,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.116,6.2,2.0,3.6,7.2,6.9,7.2,7.3
65,19,2.699815,2.7,2.699953,2.699969,2.6999989999999996,2.700081,2.7,2.7,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.11,6.25,2.0,3.6,7.3,6.9,7.3,7.5
66,20,2.7999989999999997,2.7999989999999997,2.7999989999999997,2.8,2.8,2.799992,2.7999989999999997,2.800005,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.119,6.35,2.0,3.6,7.6,6.9,7.6,7.9
67,20,2.8851799999999996,2.885179,2.896665,2.885177,2.899785,2.899978,2.884931,2.899961,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.347,6.4,2.0,3.6,7.8,6.9,7.8,7.9
68,21,2.8952199999999997,2.895219,2.8898960000000002,2.895218,2.862601,2.896677,2.8951599999999997,2.892734,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.048,6.45,2.0,3.6,8.0,7.0,8.0,8.1
69,20,2.7917710000000002,2.7917710000000002,2.795082,2.79177,2.799732,2.799639,2.791697,2.799684,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.45,2.0,3.6,8.0,7.1,8.0,7.9
70,21,2.803571,2.803571,2.8136729999999996,2.803571,2.802245,2.826433,2.8032399999999997,2.810442,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.45,2.0,3.6,7.8,7.1,7.8,7.9
71,20,2.900001,2.900001,2.899993,2.8999989999999998,2.89996,2.899997,2.8999989999999998,2.89995,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.45,2.0,3.6,7.9,7.1,7.9,8.0
72,21,2.9101709999999996,2.932111,2.932111,2.932963,2.93211,2.907337,2.9073420000000003,2.905373,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.45,2.0,3.6,8.0,7.2,8.0,8.1
73,21,2.800057,2.8,2.7999989999999997,2.8,2.8,2.8,2.799982,2.799985,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.496,6.45,2.0,3.6,8.0,7.2,8.0,7.9
74,19,2.7059789999999997,2.751061,2.752059,2.751062,2.75106,2.702102,2.700165,2.700138,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.396,6.4,2.0,3.6,7.6,7.2,7.6,7.7
75,20,2.7999940000000003,2.7999989999999997,2.7999989999999997,2.8,2.7999989999999997,2.80005,2.800013,2.800009,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,6.4,2.0,3.6,7.7,7.2,7.7,7.8
76,21,2.900006,2.9,2.9,2.8999989999999998,2.9,2.9000169999999996,2.899985,2.899988,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.876,6.45,2.0,3.6,7.8,7.1,7.8,8.0
77,20,2.899935,2.9,2.9,2.899998,2.899984,2.9000169999999996,2.900007,2.900109,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.45,2.0,3.6,8.0,7.2,8.0,8.1
78,21,2.899993,2.899993,2.8999989999999998,2.9,2.900029,2.900064,2.900028,2.899997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.5,2.0,3.6,8.0,7.2,8.0,8.1
79,20,2.699926,2.6999989999999996,2.6999969999999998,2.6999989999999996,2.7,2.7001399999999998,2.70004,2.700065,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.45,2.0,3.6,7.8,7.2,7.8,7.7
80,19,2.7531190000000003,2.741947,2.702114,2.741972,2.7003530000000002,2.7023029999999997,2.742016,2.700392,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.838,6.4,2.0,3.6,7.6,7.1,7.6,7.7
81,20,2.889581,2.8895790000000003,2.8890830000000003,2.889576,2.89671,2.899634,2.8995,2.8996269999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.873,6.4,2.0,3.6,7.7,7.1,7.7,7.9
82,21,2.900103,2.9,2.9,2.9,2.9,2.899775,2.899987,2.899934,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.867,6.45,2.0,3.6,7.9,7.1,7.9,8.0
83,21,2.800027,2.8,2.799921,2.8,2.8,2.800007,2.799998,2.800002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.507,6.55,2.0,3.6,8.1,7.2,8.1,8.0
84,20,2.600523,2.607266,2.6080799999999997,2.60727,2.607274,2.600127,2.600085,2.600016,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.45,2.0,3.6,7.8,7.2,7.8,7.6
85,19,2.8000149999999997,2.7999989999999997,2.8,2.8,2.7999989999999997,2.799957,2.800056,2.799968,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.89,6.4,2.0,3.6,7.6,7.1,7.6,7.7
86,20,2.900001,2.899997,2.8999989999999998,2.899938,2.90002,2.8998690000000003,2.9000410000000003,2.9,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.887,6.4,2.0,3.6,7.7,7.1,7.7,7.9
87,21,2.9,2.8999960000000002,2.8999989999999998,2.900095,2.900009,2.899962,2.899987,2.899998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,6.45,2.0,3.7,7.8,7.1,7.8,8.0
88,21,2.902609,2.902731,2.9026080000000003,2.902043,2.900904,2.900866,2.900982,2.9026080000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.396,6.5,2.0,3.6,8.0,7.2,8.0,8.1
89,20,2.8000010000000004,2.8,2.7999989999999997,2.800036,2.800059,2.799985,2.799966,2.7999989999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.5,2.0,3.6,7.8,7.2,7.8,7.9
90,20,2.9,2.9,2.9,2.8999989999999998,2.9000030000000003,2.90002,2.899983,2.8999699999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.45,2.0,3.6,7.9,7.2,7.9,8.0
