report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,25,3.400086,3.3999989999999998,3.4001439999999996,3.4000369999999998,3.4000790000000003,3.400009,3.400056,3.400165,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.4,2.0,3.4,5.5,3.8,5.5,5.3
2,25,3.400078,3.4,3.400064,3.4001010000000003,3.4000079999999997,3.4,3.400068,3.4002399999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.65,2.0,3.4,5.9,3.8,5.9,5.6
3,24,3.400057,3.3999989999999998,3.400148,3.40006,3.400157,3.3999989999999998,3.400042,3.4001729999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.85,2.0,3.4,6.2,4.2,6.2,5.8
4,25,3.40011,3.3999989999999998,3.4001509999999997,3.400102,3.400007,3.399997,3.4000909999999998,3.400215,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.05,2.0,3.4,6.4,4.5,6.4,6.0
5,24,3.400049,3.399991,3.400027,3.4000239999999997,3.399466,3.39963,3.399525,3.3962339999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.15,2.0,3.4,6.6,4.5,6.6,6.2
6,25,3.400016,3.4,3.4001069999999998,3.40003,3.400004,3.3999810000000004,3.400032,3.400229,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.271,5.3,2.0,3.4,6.7,4.6,6.7,6.4
7,25,3.4000410000000003,3.399954,3.400064,3.400061,3.398415,3.400001,3.39811,3.388678,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.138,5.3,2.0,3.4,6.7,4.6,6.7,6.2
8,24,3.400058,3.3999989999999998,3.40011,3.400032,3.400021,3.40003,3.400029,3.400219,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.134,5.25,2.0,3.4,6.5,4.8,6.5,6.0
9,25,3.4001300000000003,3.399951,3.4000790000000003,3.400164,3.398281,3.399997,3.396853,3.388562,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.149,5.15,2.0,3.5,6.4,4.9,6.4,5.9
10,24,3.4000790000000003,3.3999989999999998,3.400088,3.400029,3.400043,3.399994,3.400033,3.400225,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.15,2.0,3.4,6.4,4.9,6.4,5.8
11,25,3.4000410000000003,3.399953,3.400136,3.400039,3.398161,3.3999800000000002,3.3941410000000003,3.3875680000000004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,3.4,6.4,4.9,6.4,5.8
12,25,3.400059,3.3999989999999998,3.400197,3.400157,3.400007,3.399987,3.400032,3.400163,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,3.4,6.3,4.9,6.3,5.8
13,24,3.400069,3.3999989999999998,3.400119,3.400031,3.400134,3.400005,3.400021,3.400137,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,3.4,6.3,4.9,6.3,5.8
14,25,3.400042,3.3999859999999997,3.400137,3.396732,3.399801,3.399982,3.3982710000000003,3.400165,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.05,2.0,3.4,6.3,5.0,6.3,5.7
15,24,3.400057,3.4,3.400128,3.40004,3.400094,3.4000100000000004,3.4000410000000003,3.400138,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.05,2.0,3.4,6.3,5.0,6.3,5.8
16,25,3.400033,3.4,3.400133,3.400032,3.400005,3.399995,3.400031,3.40015,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.05,2.0,3.4,6.3,5.0,6.3,5.7
17,25,3.4001460000000003,3.399942,3.39704,3.397686,3.395886,3.4000019999999997,3.397763,3.4001170000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.149,5.05,2.0,3.4,6.3,5.0,6.3,5.8
18,24,3.40008,3.4,3.4001390000000002,3.400054,3.400015,3.400022,3.400045,3.400143,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.127,5.05,2.0,3.4,6.3,5.0,6.3,5.8
19,25,3.400039,3.399949,3.400045,3.400089,3.398272,3.399984,3.3987890000000003,3.389167,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,3.4,6.3,5.0,6.3,5.8
20,24,3.400056,3.4,3.4001129999999997,3.40004,3.400036,3.400028,3.400043,3.400209,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.127,5.1,2.0,3.4,6.3,5.0,6.3,5.8
21,25,3.400045,3.399949,3.400072,3.398648,3.398282,3.400001,3.3990430000000003,3.388245,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.1,2.0,3.4,6.3,5.0,6.3,5.7
22,25,3.40014,3.4,3.4001439999999996,3.400104,3.400067,3.399982,3.4000030000000003,3.400163,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,3.4,6.3,5.0,6.3,5.7
23,24,3.397219,3.399987,3.40012,3.397256,3.3958180000000002,3.400052,3.398555,3.400192,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.05,2.0,3.4,6.3,5.0,6.3,5.7
24,25,3.400109,3.3999989999999998,3.400181,3.400045,3.400005,3.4000100000000004,3.4000369999999998,3.400219,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.1,2.0,3.4,6.3,5.0,6.3,5.8
25,24,3.4000839999999997,3.4,3.40021,3.400081,3.400143,3.399997,3.400081,3.400159,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,3.4,6.3,5.0,6.3,5.7
26,25,3.40009,3.4,3.400126,3.4000500000000002,3.400005,3.400001,3.4000529999999998,3.40006,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.1,2.0,3.4,6.3,5.0,6.3,5.8
27,24,3.400088,3.4,3.400083,3.400035,3.400135,3.399967,3.400078,3.4001170000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.1,2.0,3.4,6.3,5.0,6.3,5.7
28,25,3.400154,3.4,3.400095,3.400081,3.4001219999999996,3.4000019999999997,3.400072,3.40012,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.1,2.0,3.4,6.3,5.0,6.3,5.8
29,25,3.400158,3.399993,3.400224,3.400086,3.4000700000000004,3.400009,3.3979209999999997,3.3998470000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.05,2.0,3.4,6.3,5.0,6.3,5.8
30,24,3.4001080000000004,3.4,3.400134,3.400069,3.400088,3.400027,3.400022,3.4002060000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.1,2.0,3.4,6.3,5.0,6.3,5.7
31,25,3.4002719999999997,3.399849,3.398061,3.400088,3.3965500000000004,3.4000410000000003,3.399849,3.396942,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.127,5.3,2.0,3.4,7.0,5.0,7.0,7.4
32,24,3.400604,3.399951,3.399983,3.394767,3.388842,3.400038,3.399951,3.400166,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.45,2.0,3.4,7.3,5.4,7.3,7.5
33,25,3.395023,3.3999200000000003,3.3999200000000003,3.397944,3.39823,3.3999989999999998,3.399987,3.397179,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.55,2.0,3.4,7.5,5.6,7.5,7.7
