report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,25,3.4001550000000003,3.399998,3.4000079999999997,3.4001289999999997,3.400033,3.399987,3.4,3.400055,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,5.3,2.0,3.4,7.1,5.4,7.1,6.7
2,25,3.400169,3.399998,3.4000410000000003,3.400049,3.40008,3.399976,3.4,3.400028,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.45,2.0,3.5,7.4,5.4,7.4,7.0
3,24,3.400061,3.399998,3.399998,3.400044,3.400019,3.400006,3.399995,3.4000410000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.55,2.0,3.4,7.5,5.6,7.5,7.1
4,25,3.400094,3.3999989999999998,3.4,3.4000619999999997,3.400031,3.400018,3.400016,3.4000340000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.65,2.0,3.4,7.6,5.6,7.6,7.1
5,24,3.400071,3.399998,3.4000030000000003,3.400023,3.4000250000000003,3.399987,3.400009,3.40002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.134,5.7,2.0,3.4,7.7,5.8,7.7,7.2
6,25,3.399631,3.39909,3.399089,3.39141,3.397141,3.400004,3.3982330000000003,3.3990169999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.8,2.0,3.4,7.7,6.0,7.7,7.5
7,24,3.400127,3.4,3.4,3.400112,3.400038,3.400051,3.4000120000000003,3.4000619999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.444,5.85,2.0,3.4,7.8,6.0,7.8,7.9
8,25,3.398665,3.393798,3.393614,3.395225,3.3980129999999997,3.4000079999999997,3.3973400000000002,3.40008,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.881,5.85,2.0,3.4,7.8,6.0,7.8,7.9
9,24,3.400405,3.3999989999999998,3.3999989999999998,3.400083,3.400162,3.4000030000000003,3.400001,3.4001010000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.85,2.0,3.4,7.8,6.0,7.8,7.9
10,25,3.4002440000000003,3.3964369999999997,3.396398,3.3976979999999997,3.3371370000000002,3.377971,3.3782170000000002,3.4001390000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.896,5.85,2.0,3.4,7.8,6.1,7.8,7.9
11,24,3.400582,3.4,3.3999989999999998,3.400042,3.400134,3.399998,3.399945,3.400153,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.89,5.85,2.0,3.4,7.8,6.2,7.8,7.9
12,25,3.3612260000000003,3.3981500000000002,3.398137,3.396775,3.348554,3.3998369999999998,3.399989,3.395075,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.85,2.0,3.4,7.8,6.2,7.8,7.9
13,24,3.3887899999999997,3.3999050000000004,3.391665,3.399904,3.3892510000000002,3.400015,3.389179,3.395163,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.85,2.0,3.4,7.8,6.2,7.8,7.6
14,24,3.400208,3.4,3.4,3.400112,3.400028,3.4000120000000003,3.400006,3.4000410000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.85,2.0,3.5,7.8,6.2,7.8,7.9
15,25,3.396152,3.3919430000000004,3.3916350000000004,3.39791,3.3595450000000002,3.399994,3.3928580000000004,3.365879,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.893,5.9,2.0,3.4,7.9,6.2,7.9,8.0
16,24,3.400396,3.4,3.3999989999999998,3.400121,3.400019,3.400033,3.399977,3.400056,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.887,5.85,2.0,3.4,7.9,6.2,7.9,8.0
