report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,21,2.805908,2.828026,2.8275300000000003,2.828026,2.828026,2.8840369999999997,2.849424,2.884766,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.867,6.15,2.0,3.5,7.5,6.6,7.5,7.7
2,20,2.8999810000000004,2.8999989999999998,2.9,2.9,2.9,2.8999650000000003,2.8999859999999997,2.8999360000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.25,2.0,3.5,7.6,6.8,7.6,7.9
3,22,2.982246,2.9490790000000002,2.9490790000000002,2.949078,2.948533,2.992583,2.987911,2.972687,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.876,6.3,2.0,3.5,7.9,6.8,7.9,8.2
4,21,2.969981,2.9424409999999996,2.94244,2.9424409999999996,2.941771,2.982831,2.9829499999999998,2.981182,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.4,2.0,3.5,8.1,7.0,8.1,8.1
5,20,2.699907,2.6999989999999996,2.7,2.7,2.699996,2.699928,2.700076,2.700118,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.4,2.0,3.5,7.8,7.0,7.8,7.8
6,20,2.800022,2.7999989999999997,2.8,2.8,2.8,2.7999609999999997,2.8000439999999998,2.800025,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.024,6.3,2.0,3.6,7.6,7.0,7.6,7.8
7,21,2.846736,2.895156,2.8960749999999997,2.895156,2.895157,2.810098,2.800501,2.813455,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.876,6.35,2.0,3.5,7.7,7.0,7.7,7.9
8,21,2.960006,2.943269,2.942733,2.943269,2.943269,2.974015,2.977672,2.979324,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,6.4,2.0,3.5,7.9,7.0,7.9,8.1
9,21,2.9573139999999998,2.930411,2.9297310000000003,2.930411,2.930412,2.973947,2.971601,2.961127,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.45,2.0,3.5,8.1,7.2,8.1,8.1
10,21,2.771931,2.74091,2.740726,2.740911,2.740911,2.799339,2.799032,2.792418,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.45,2.0,3.6,8.1,7.2,8.1,7.8
11,18,2.467176,2.436452,2.436452,2.495198,2.4355700000000002,2.499891,2.499955,2.436452,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.048,6.25,2.0,3.6,7.2,7.2,7.2,7.1
12,18,2.599989,2.599999,2.6,2.6,2.6,2.600054,2.599977,2.600054,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.076,6.2,2.0,3.6,7.1,6.9,7.1,7.2
